skeleton-id,node-id-src,node-id-dst,branch-distance,branch-type,mean-pixel-value,stdev-pixel-value,image-coord-src-0,image-coord-src-1,image-coord-dst-0,image-coord-dst-1,coord-src-0,coord-src-1,coord-dst-0,coord-dst-1,euclidean-distance
2,212,417,68.7989898732233,0,1.0,0.0,575,572,638,566,575,572,638,566,63.28506932918696
1,323,341,16.82842712474619,1,1.0,0.0,612,454,614,438,612,454,614,438,16.1245154965971
1,323,492,69.69848480983498,2,1.0,0.0,612,454,668,480,612,454,668,480,61.741396161732524
1,481,492,13.071067811865477,1,1.0,0.0,665,491,668,480,665,491,668,480,11.40175425099138
1,492,661,115.45584412271569,2,1.0,0.0,668,480,776,488,668,480,776,488,108.29589096544707
1,661,670,16.656854249492383,1,1.0,0.0,776,488,780,473,776,488,780,473,15.524174696260024
1,661,892,243.46803743153578,1,1.0,0.0,776,488,999,470,776,488,999,470,223.72527796384566
0,0,593,151.52691193458122,1,1.0,0.0,533,1932,675,1941,533,1932,675,1941,142.28492541376264
1,36,168,47.31370849898475,1,1.0,0.0,568,2456,612,2450,568,2456,612,2450,44.40720662234904
2,95,124,10.65685424949238,1,1.0,0.0,598,386,607,382,598,386,607,382,9.848857801796104
2,124,2770,305.59292911256364,1,1.0,0.0,607,382,858,270,607,382,858,270,274.85450696686786
2,124,737,99.72792206135784,2,1.0,0.0,607,382,691,401,607,382,691,401,86.12200647918046
1,168,226,21.313708498984763,1,1.0,0.0,612,2450,620,2432,612,2450,620,2432,19.697715603592208
1,168,243,17.72792206135786,2,1.0,0.0,612,2450,623,2462,612,2450,623,2462,16.278820596099706
3,184,322,23.55634918610405,1,1.0,0.0,615,883,632,896,615,883,632,896,21.400934559032695
1,243,1077,106.48528137423857,2,1.0,0.0,623,2462,726,2459,623,2462,726,2459,103.04368005850722
1,243,1729,201.68124086713192,2,1.0,0.0,623,2462,778,2541,623,2462,778,2541,173.97126199461795
3,322,346,16.65685424949238,1,1.0,0.0,632,896,634,911,632,896,634,911,15.132745950421556
3,322,658,52.656854249492376,2,1.0,0.0,632,896,683,898,632,896,683,898,51.03920062069938
0,593,2621,181.69848480983504,2,1.0,0.0,675,1941,845,1923,675,1941,845,1923,170.95028517086482
0,593,2078,145.698484809835,1,1.0,0.0,675,1941,805,1961,675,1941,805,1961,131.52946437965906
3,658,1040,69.0121933088197,1,1.0,0.0,683,898,722,851,683,898,722,851,61.07372593840988
3,658,1281,68.97056274847714,2,1.0,0.0,683,898,746,905,683,898,746,905,63.387695966961914
2,737,2502,188.539105243401,2,1.0,0.0,691,401,836,333,691,401,836,333,160.15305179733542
2,737,1124,43.65685424949238,2,1.0,0.0,691,401,732,406,691,401,732,406,41.30375285612676
1,1077,1085,3.414213562373095,1,1.0,0.0,726,2459,727,2456,726,2459,727,2456,3.1622776601683795
1,1077,1300,23.07106781186548,2,1.0,0.0,726,2459,747,2464,726,2459,747,2464,21.587033144922902
2,1124,1289,16.82842712474619,2,1.0,0.0,732,406,747,403,732,406,747,403,15.297058540778355
2,1124,2559,164.23759005323598,1,1.0,0.0,732,406,840,505,732,406,840,505,146.50938536489735
3,1281,2535,124.98275605729683,2,1.0,0.0,746,905,838,854,746,905,838,854,105.19030373565806
