skeleton-id,filename,coord-src-0,coord-src-1,coord-dst-0,coord-dst-1,branch-distance
0.0,test_image_1.png,476.0,1405.0,721.0,1438.0,260.32590180780477
1.0,test_image_1.png,481.0,448.0,999.0,470.0,566.6345596729069
2.0,test_image_1.png,575.0,572.0,638.0,566.0,69.62741699796949
0.0,test_image_10.png,533.0,1932.0,586.0,1934.0,55.48528137423857
1.0,test_image_10.png,568.0,2456.0,599.0,2453.0,33.071067811865476
0.0,test_image_10.png,586.0,1934.0,611.0,1937.0,41.556349186104036
0.0,test_image_10.png,586.0,1934.0,611.0,1937.0,27.89949493661167
1.0,test_image_10.png,599.0,2453.0,620.0,2431.0,33.041630560342625
1.0,test_image_10.png,599.0,2453.0,617.0,2458.0,20.071067811865476
2.0,test_image_10.png,605.0,400.0,634.0,399.0,30.242640687119287
0.0,test_image_10.png,611.0,1937.0,661.0,1934.0,52.071067811865476
3.0,test_image_10.png,615.0,883.0,631.0,893.0,20.72792206135786
1.0,test_image_10.png,617.0,2458.0,796.0,2549.0,229.48023074035535
1.0,test_image_10.png,617.0,2458.0,726.0,2459.0,111.07106781186546
3.0,test_image_10.png,631.0,893.0,634.0,911.0,21.48528137423857
3.0,test_image_10.png,631.0,893.0,676.0,900.0,47.89949493661167
2.0,test_image_10.png,634.0,399.0,674.0,400.0,45.97056274847712
2.0,test_image_10.png,634.0,399.0,674.0,405.0,48.38477631085023
0.0,test_image_10.png,661.0,1934.0,805.0,1961.0,164.94112549695427
0.0,test_image_10.png,661.0,1934.0,844.0,1923.0,190.04163056034264
2.0,test_image_10.png,674.0,400.0,674.0,405.0,5.0
2.0,test_image_10.png,674.0,400.0,680.0,395.0,8.071067811865476
2.0,test_image_10.png,674.0,405.0,736.0,415.0,67.55634918610404
3.0,test_image_10.png,676.0,900.0,722.0,851.0,73.91168824543138
3.0,test_image_10.png,676.0,900.0,738.0,908.0,65.89949493661166
2.0,test_image_10.png,680.0,395.0,848.0,333.0,206.75230867899748
2.0,test_image_10.png,680.0,395.0,755.0,403.0,81.38477631085021
1.0,test_image_10.png,726.0,2459.0,727.0,2456.0,3.414213562373095
1.0,test_image_10.png,726.0,2459.0,739.0,2460.0,13.414213562373096
2.0,test_image_10.png,736.0,415.0,755.0,403.0,25.72792206135786
2.0,test_image_10.png,736.0,415.0,840.0,505.0,153.58073580374352
3.0,test_image_10.png,738.0,908.0,974.0,844.0,277.33809511662434
3.0,test_image_10.png,738.0,908.0,836.0,910.0,104.38477631085021
1.0,test_image_10.png,739.0,2460.0,796.0,2549.0,114.36753236814702
1.0,test_image_10.png,739.0,2460.0,775.0,2457.0,38.071067811865476
2.0,test_image_10.png,755.0,403.0,823.0,382.0,79.18376618407352
