skeleton-id,start_y,start_x,end_y,end_x,total-root-length
0,375.0,2347.0,1815.0,2191.0,8179.594872476838
1,528.0,1670.0,752.0,1649.0,275.9655121145942
2,565.0,3121.0,2093.0,3055.0,7108.797615707167
3,628.0,1345.0,791.0,1611.0,339.96046148071133
4,629.0,1202.0,1836.0,1187.0,6811.607932337433
5,649.0,3270.0,1022.0,3500.0,721.7838379715731
